number,ja-Hrkt,en,it,es,de,fr,ko,zh-Hans,zh-Hant
0493,アルセウス,Arceus,Arceus,Arceus,Arceus,Arceus,아르세우스,阿尔宙斯,阿爾宙斯
0494,ビクティニ,Victini,Victini,Victini,Victini,Victini,비크티니,比克提尼,比克提尼
0495,ツタージャ,Snivy,Snivy,Snivy,Serpifeu,Vipélierre,주리비얀,藤藤蛇,藤藤蛇
0496,ジャノビー,Servine,Servine,Servine,Efoserp,Lianaja,샤비,青藤蛇,青藤蛇
0497,ジャローダ,Serperior,Serperior,Serperior,Serpiroyal,Majaspic,샤로다,君主蛇,君主蛇
0498,ポカブ,Tepig,Tepig,Tepig,Floink,Gruikui,뚜꾸리,暖暖猪,暖暖豬
0499,チャオブー,Pignite,Pignite,Pignite,Ferkokel,Grotichon,챠오꿀,炒炒猪,炒炒豬
0500,エンブオー,Emboar,Emboar,Emboar,Flambirex,Roitiflam,염무왕,炎武王,炎武王
0501,ミジュマル,Oshawott,Oshawott,Oshawott,Ottaro,Moustillon,수댕이,水水獭,水水獺
0502,フタチマル,Dewott,Dewott,Dewott,Zwottronin,Mateloutre,쌍검자비,双刃丸,雙刃丸
0503,ダイケンキ,Samurott,Samurott,Samurott,Admurai,Clamiral,대검귀,大剑鬼,大劍鬼
0504,ミネズミ,Patrat,Patrat,Patrat,Nagelotz,Ratentif,보르쥐,探探鼠,探探鼠
0505,ミルホッグ,Watchog,Watchog,Watchog,Kukmarda,Miradar,보르그,步哨鼠,步哨鼠
0506,ヨーテリー,Lillipup,Lillipup,Lillipup,Yorkleff,Ponchiot,요테리,小约克,小約克
0507,ハーデリア,Herdier,Herdier,Herdier,Terribark,Ponchien,하데리어,哈约克,哈約克
0508,ムーランド,Stoutland,Stoutland,Stoutland,Bissbark,Mastouffe,바랜드,长毛狗,長毛狗
0509,チョロネコ,Purrloin,Purrloin,Purrloin,Felilou,Chacripan,쌔비냥,扒手猫,扒手貓
0510,レパルダス,Liepard,Liepard,Liepard,Kleoparda,Léopardas,레파르다스,酷豹,酷豹
0511,ヤナップ,Pansage,Pansage,Pansage,Vegimak,Feuillajou,야나프,花椰猴,花椰猴
0512,ヤナッキー,Simisage,Simisage,Simisage,Vegichita,Feuiloutan,야나키,花椰猿,花椰猿
0513,バオップ,Pansear,Pansear,Pansear,Grillmak,Flamajou,바오프,爆香猴,爆香猴
0514,バオッキー,Simisear,Simisear,Simisear,Grillchita,Flamoutan,바오키,爆香猿,爆香猿
0515,ヒヤップ,Panpour,Panpour,Panpour,Sodamak,Flotajou,앗차프,冷水猴,冷水猴
0516,ヒヤッキー,Simipour,Simipour,Simipour,Sodachita,Flotoutan,앗차키,冷水猿,冷水猿
0517,ムンナ,Munna,Munna,Munna,Somniam,Munna,몽나,食梦梦,食夢夢
0518,ムシャーナ,Musharna,Musharna,Musharna,Somnivora,Mushana,몽얌나,梦梦蚀,夢夢蝕
0519,マメパト,Pidove,Pidove,Pidove,Dusselgurr,Poichigeon,콩둘기,豆豆鸽,豆豆鴿
0520,ハトーボー,Tranquill,Tranquill,Tranquill,Navitaub,Colombeau,유토브,咕咕鸽,咕咕鴿
0521,ケンホロウ,Unfezant,Unfezant,Unfezant,Fasasnob,Déflaisan,켄호로우,高傲雉鸡,高傲雉雞
0522,シママ,Blitzle,Blitzle,Blitzle,Elezeba,Zébribon,줄뮤마,斑斑马,斑斑馬
0523,ゼブライカ,Zebstrika,Zebstrika,Zebstrika,Zebritz,Zéblitz,제브라이카,雷电斑马,雷電斑馬
0524,ダンゴロ,Roggenrola,Roggenrola,Roggenrola,Kiesling,Nodulithe,단굴,石丸子,石丸子
0525,ガントル,Boldore,Boldore,Boldore,Sedimantur,Géolithe,암트르,地幔岩,地幔岩
0526,ギガイアス,Gigalith,Gigalith,Gigalith,Brockoloss,Gigalithe,기가이어스,庞岩怪,龐岩怪
0527,コロモリ,Woobat,Woobat,Woobat,Fleknoil,Chovsourir,또르박쥐,滚滚蝙蝠,滾滾蝙蝠
0528,ココロモリ,Swoobat,Swoobat,Swoobat,Fletiamo,Rhinolove,맘박쥐,心蝙蝠,心蝙蝠
0529,モグリュー,Drilbur,Drilbur,Drilbur,Rotomurf,Rototaupe,두더류,螺钉地鼠,螺釘地鼠
0530,ドリュウズ,Excadrill,Excadrill,Excadrill,Stalobor,Minotaupe,몰드류,龙头地鼠,龍頭地鼠
0531,タブンネ,Audino,Audino,Audino,Ohrdoch,Nanméouïe,다부니,差不多娃娃,差不多娃娃
0532,ドッコラー,Timburr,Timburr,Timburr,Praktibalk,Charpenti,으랏차,搬运小匠,搬運小匠
0533,ドテッコツ,Gurdurr,Gurdurr,Gurdurr,Strepoli,Ouvrifier,토쇠골,铁骨土人,鐵骨土人
0534,ローブシン,Conkeldurr,Conkeldurr,Conkeldurr,Meistagrif,Bétochef,노보청,修建老匠,修建老匠
0535,オタマロ,Tympole,Tympole,Tympole,Schallquap,Tritonde,동챙이,圆蝌蚪,圓蝌蚪
0536,ガマガル,Palpitoad,Palpitoad,Palpitoad,Mebrana,Batracné,두까비,蓝蟾蜍,藍蟾蜍
0537,ガマゲロゲ,Seismitoad,Seismitoad,Seismitoad,Branawarz,Crapustule,두빅굴,蟾蜍王,蟾蜍王
0538,ナゲキ,Throh,Throh,Throh,Jiutesto,Judokrak,던지미,投摔鬼,投摔鬼
0539,ダゲキ,Sawk,Sawk,Sawk,Karadonis,Karaclée,타격귀,打击鬼,打擊鬼
0540,クルミル,Sewaddle,Sewaddle,Sewaddle,Strawickl,Larveyette,두르보,虫宝包,蟲寶包
0541,クルマユ,Swadloon,Swadloon,Swadloon,Folikon,Couverdure,두르쿤,宝包茧,寶包繭
0542,ハハコモリ,Leavanny,Leavanny,Leavanny,Matrifol,Manternel,모아머,保姆虫,保母蟲
0543,フシデ,Venipede,Venipede,Venipede,Toxiped,Venipatte,마디네,百足蜈蚣,百足蜈蚣
0544,ホイーガ,Whirlipede,Whirlipede,Whirlipede,Rollum,Scobolide,휠구,车轮球,車輪毬
0545,ペンドラー,Scolipede,Scolipede,Scolipede,Cerapendra,Brutapode,펜드라,蜈蚣王,蜈蚣王
0546,モンメン,Cottonee,Cottonee,Cottonee,Waumboll,Doudouvet,소미안,木棉球,木棉球
0547,エルフーン,Whimsicott,Whimsicott,Whimsicott,Elfun,Farfaduvet,엘풍,风妖精,風妖精
0548,チュリネ,Petilil,Petilil,Petilil,Lilminip,Chlorobule,치릴리,百合根娃娃,百合根娃娃
0549,ドレディア,Lilligant,Lilligant,Lilligant,Dressella,Fragilady,드레디어,裙儿小姐,裙兒小姐
0550,バスラオ,Basculin,Basculin,Basculin,Barschuft,Bargantua,배쓰나이,野蛮鲈鱼,野蠻鱸魚
0551,メグロコ,Sandile,Sandile,Sandile,Ganovil,Mascaïman,깜눈크,黑眼鳄,黑眼鱷
0552,ワルビル,Krokorok,Krokorok,Krokorok,Rokkaiman,Escroco,악비르,混混鳄,混混鱷
0553,ワルビアル,Krookodile,Krookodile,Krookodile,Rabigator,Crocorible,악비아르,流氓鳄,流氓鱷
0554,ダルマッカ,Darumaka,Darumaka,Darumaka,Flampion,Darumarond,달막화,火红不倒翁,火紅不倒翁
0555,ヒヒダルマ,Darmanitan,Darmanitan,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒
0556,マラカッチ,Maractus,Maractus,Maractus,Maracamba,Maracachi,마라카치,沙铃仙人掌,沙鈴仙人掌
0557,イシズマイ,Dwebble,Dwebble,Dwebble,Lithomith,Crabicoque,돌살이,石居蟹,石居蟹
0558,イワパレス,Crustle,Crustle,Crustle,Castellith,Crabaraque,암팰리스,岩殿居蟹,岩殿居蟹
0559,ズルッグ,Scraggy,Scraggy,Scraggy,Zurrokex,Baggiguane,곤율랭,滑滑小子,滑滑小子
0560,ズルズキン,Scrafty,Scrafty,Scrafty,Irokex,Baggaïd,곤율거니,头巾混混,頭巾混混
0561,シンボラー,Sigilyph,Sigilyph,Sigilyph,Symvolara,Cryptéro,심보러,象征鸟,象徵鳥
0562,デスマス,Yamask,Yamask,Yamask,Makabaja,Tutafeh,데스마스,哭哭面具,哭哭面具
0563,デスカーン,Cofagrigus,Cofagrigus,Cofagrigus,Echnatoll,Tutankafer,데스니칸,迭失棺,死神棺
0564,プロトーガ,Tirtouga,Tirtouga,Tirtouga,Galapaflos,Carapagos,프로토가,原盖海龟,原蓋海龜
0565,アバゴーラ,Carracosta,Carracosta,Carracosta,Karippas,Mégapagos,늑골라,肋骨海龟,肋骨海龜
0566,アーケン,Archen,Archen,Archen,Flapteryx,Arkéapti,아켄,始祖小鸟,始祖小鳥
0567,アーケオス,Archeops,Archeops,Archeops,Aeropteryx,Aéroptéryx,아케오스,始祖大鸟,始祖大鳥
0568,ヤブクロン,Trubbish,Trubbish,Trubbish,Unratütox,Miamiasme,깨봉이,破破袋,破破袋
0569,ダストダス,Garbodor,Garbodor,Garbodor,Deponitox,Miasmax,더스트나,灰尘山,灰塵山
0570,ゾロア,Zorua,Zorua,Zorua,Zorua,Zorua,조로아,索罗亚,索羅亞
0571,ゾロアーク,Zoroark,Zoroark,Zoroark,Zoroark,Zoroark,조로아크,索罗亚克,索羅亞克
0572,チラーミィ,Minccino,Minccino,Minccino,Picochilla,Chinchidou,치라미,泡沫栗鼠,泡沫栗鼠
0573,チラチーノ,Cinccino,Cinccino,Cinccino,Chillabell,Pashmilla,치라치노,奇诺栗鼠,奇諾栗鼠
0574,ゴチム,Gothita,Gothita,Gothita,Mollimorba,Scrutella,고디탱,哥德宝宝,哥德寶寶
0575,ゴチミル,Gothorita,Gothorita,Gothorita,Hypnomorba,Mesmérella,고디보미,哥德小童,哥德小童
0576,ゴチルゼル,Gothitelle,Gothitelle,Gothitelle,Morbitesse,Sidérella,고디모아젤,哥德小姐,哥德小姐
0577,ユニラン,Solosis,Solosis,Solosis,Monozyto,Nucléos,유니란,单卵细胞球,單卵細胞球
0578,ダブラン,Duosion,Duosion,Duosion,Mitodos,Méios,듀란,双卵细胞球,雙卵細胞球
0579,ランクルス,Reuniclus,Reuniclus,Reuniclus,Zytomega,Symbios,란쿨루스,人造细胞卵,人造細胞卵
0580,コアルヒー,Ducklett,Ducklett,Ducklett,Piccolente,Couaneton,꼬지보리,鸭宝宝,鴨寶寶
0581,スワンナ,Swanna,Swanna,Swanna,Swaroness,Lakmécygne,스완나,舞天鹅,舞天鵝
0582,バニプッチ,Vanillite,Vanillite,Vanillite,Gelatini,Sorbébé,바닐프티,迷你冰,迷你冰
0583,バニリッチ,Vanillish,Vanillish,Vanillish,Gelatroppo,Sorboul,바닐리치,多多冰,多多冰
0584,バイバニラ,Vanilluxe,Vanilluxe,Vanilluxe,Gelatwino,Sorbouboul,배바닐라,双倍多多冰,雙倍多多冰
0585,シキジカ,Deerling,Deerling,Deerling,Sesokitz,Vivaldaim,사철록,四季鹿,四季鹿
0586,メブキジカ,Sawsbuck,Sawsbuck,Sawsbuck,Kronjuwild,Haydaim,바라철록,萌芽鹿,萌芽鹿
0587,エモンガ,Emolga,Emolga,Emolga,Emolga,Emolga,에몽가,电飞鼠,電飛鼠
0588,カブルモ,Karrablast,Karrablast,Karrablast,Laukaps,Carabing,딱정곤,盖盖虫,蓋蓋蟲
0589,シュバルゴ,Escavalier,Escavalier,Escavalier,Cavalanzas,Lançargot,슈바르고,骑士蜗牛,騎士蝸牛
0590,タマゲタケ,Foongus,Foongus,Foongus,Tarnpignon,Trompignon,깜놀버슬,哎呀球菇,哎呀球菇
0591,モロバレル,Amoonguss,Amoonguss,Amoonguss,Hutsassa,Gaulet,뽀록나,败露球菇,敗露球菇
0592,プルリル,Frillish,Frillish,Frillish,Quabbel,Viskuse,탱그릴,轻飘飘,輕飄飄
0593,ブルンゲル,Jellicent,Jellicent,Jellicent,Apoquallyp,Moyade,탱탱겔,胖嘟嘟,胖嘟嘟
0594,ママンボウ,Alomomola,Alomomola,Alomomola,Mamolida,Mamanbo,맘복치,保姆曼波,保母曼波
0595,バチュル,Joltik,Joltik,Joltik,Wattzapf,Statitik,피쪼옥,电电虫,電電蟲
0596,デンチュラ,Galvantula,Galvantula,Galvantula,Voltula,Mygavolt,전툴라,电蜘蛛,電蜘蛛
0597,テッシード,Ferroseed,Ferroseed,Ferroseed,Kastadur,Grindur,철시드,种子铁球,種子鐵球
0598,ナットレイ,Ferrothorn,Ferrothorn,Ferrothorn,Tentantel,Noacier,너트령,坚果哑铃,堅果啞鈴
0599,ギアル,Klink,Klink,Klink,Klikk,Tic,기어르,齿轮儿,齒輪兒
0600,ギギアル,Klang,Klang,Klang,Kliklak,Clic,기기어르,齿轮组,齒輪組
0601,ギギギアル,Klinklang,Klinklang,Klinklang,Klikdiklak,Cliticlic,기기기어르,齿轮怪,齒輪怪
0602,シビシラス,Tynamo,Tynamo,Tynamo,Zapplardin,Anchwatt,저리어,麻麻小鱼,麻麻小魚
0603,シビビール,Eelektrik,Eelektrik,Eelektrik,Zapplalek,Lampéroie,저리릴,麻麻鳗,麻麻鰻
0604,シビルドン,Eelektross,Eelektross,Eelektross,Zapplarang,Ohmassacre,저리더프,麻麻鳗鱼王,麻麻鰻魚王
0605,リグレー,Elgyem,Elgyem,Elgyem,Pygraulon,Lewsor,리그레,小灰怪,小灰怪
0606,オーベム,Beheeyem,Beheeyem,Beheeyem,Megalon,Neitram,벰크,大宇怪,大宇怪
0607,ヒトモシ,Litwick,Litwick,Litwick,Lichtel,Funécire,불켜미,烛光灵,燭光靈
0608,ランプラー,Lampent,Lampent,Lampent,Laternecto,Mélancolux,램프라,灯火幽灵,燈火幽靈
0609,シャンデラ,Chandelure,Chandelure,Chandelure,Skelabra,Lugulabre,샹델라,水晶灯火灵,水晶燈火靈
0610,キバゴ,Axew,Axew,Axew,Milza,Coupenotte,터검니,牙牙,牙牙
0611,オノンド,Fraxure,Fraxure,Fraxure,Sharfax,Incisache,액슨도,斧牙龙,斧牙龍
0612,オノノクス,Haxorus,Haxorus,Haxorus,Maxax,Tranchodon,액스라이즈,双斧战龙,雙斧戰龍
0613,クマシュン,Cubchoo,Cubchoo,Cubchoo,Petznief,Polarhume,코고미,喷嚏熊,噴嚏熊
0614,ツンベアー,Beartic,Beartic,Beartic,Siberio,Polagriffe,툰베어,冻原熊,凍原熊
0615,フリージオ,Cryogonal,Cryogonal,Cryogonal,Frigometri,Hexagel,프리지오,几何雪花,幾何雪花
0616,チョボマキ,Shelmet,Shelmet,Shelmet,Schnuthelm,Escargaume,쪼마리,小嘴蜗,小嘴蝸
0617,アギルダー,Accelgor,Accelgor,Accelgor,Hydragil,Limaspeed,어지리더,敏捷虫,敏捷蟲
0618,マッギョ,Stunfisk,Stunfisk,Stunfisk,Flunschlik,Limonde,메더,泥巴鱼,泥巴魚
0619,コジョフー,Mienfoo,Mienfoo,Mienfoo,Lin-Fu,Kungfouine,비조푸,功夫鼬,功夫鼬
0620,コジョンド,Mienshao,Mienshao,Mienshao,Wie-Shu,Shaofouine,비조도,师父鼬,師父鼬
0621,クリムガン,Druddigon,Druddigon,Druddigon,Shardrago,Drakkarmin,크리만,赤面龙,赤面龍
0622,ゴビット,Golett,Golett,Golett,Golbit,Gringolem,골비람,泥偶小人,泥偶小人
0623,ゴルーグ,Golurk,Golurk,Golurk,Golgantes,Golemastoc,골루그,泥偶巨人,泥偶巨人
0624,コマタナ,Pawniard,Pawniard,Pawniard,Gladiantri,Scalpion,자망칼,驹刀小兵,駒刀小兵
0625,キリキザン,Bisharp,Bisharp,Bisharp,Caesurio,Scalproie,절각참,劈斩司令,劈斬司令
0626,バッフロン,Bouffalant,Bouffalant,Bouffalant,Bisofank,Frison,버프론,爆炸头水牛,爆炸頭水牛
0627,ワシボン,Rufflet,Rufflet,Rufflet,Geronimatz,Furaiglon,수리둥보,毛头小鹰,毛頭小鷹
0628,ウォーグル,Braviary,Braviary,Braviary,Washakwil,Gueriaigle,워글,勇士雄鹰,勇士雄鷹
0629,バルチャイ,Vullaby,Vullaby,Vullaby,Skallyk,Vostourno,벌차이,秃鹰丫头,禿鷹丫頭
0630,バルジーナ,Mandibuzz,Mandibuzz,Mandibuzz,Grypheldis,Vaututrice,버랜지나,秃鹰娜,禿鷹娜
0631,クイタラン,Heatmor,Heatmor,Heatmor,Furnifraß,Aflamanoir,앤티골,熔蚁兽,熔蟻獸
0632,アイアント,Durant,Durant,Durant,Fermicula,Fermite,아이앤트,铁蚁,鐵蟻
0633,モノズ,Deino,Deino,Deino,Kapuno,Solochi,모노두,单首龙,單首龍
0634,ジヘッド,Zweilous,Zweilous,Zweilous,Duodino,Diamat,디헤드,双首暴龙,雙首暴龍
0635,サザンドラ,Hydreigon,Hydreigon,Hydreigon,Trikephalo,Trioxhydre,삼삼드래,三首恶龙,三首惡龍
0636,メラルバ,Larvesta,Larvesta,Larvesta,Ignivor,Pyronille,활화르바,燃烧虫,燃燒蟲
0637,ウルガモス,Volcarona,Volcarona,Volcarona,Ramoth,Pyrax,불카모스,火神蛾,火神蛾
0638,コバルオン,Cobalion,Cobalion,Cobalion,Kobalium,Cobaltium,코바르온,勾帕路翁,勾帕路翁
0639,テラキオン,Terrakion,Terrakion,Terrakion,Terrakium,Terrakium,테라키온,代拉基翁,代拉基翁
0640,ビリジオン,Virizion,Virizion,Virizion,Viridium,Viridium,비리디온,毕力吉翁,畢力吉翁
0641,トルネロス,Tornadus,Tornadus,Tornadus,Boreos,Boréas,토네로스,龙卷云,龍捲雲
0642,ボルトロス,Thundurus,Thundurus,Thundurus,Voltolos,Fulguris,볼트로스,雷电云,雷電雲
0643,レシラム,Reshiram,Reshiram,Reshiram,Reshiram,Reshiram,레시라무,莱希拉姆,萊希拉姆
0644,ゼクロム,Zekrom,Zekrom,Zekrom,Zekrom,Zekrom,제크로무,捷克罗姆,捷克羅姆
0645,ランドロス,Landorus,Landorus,Landorus,Demeteros,Démétéros,랜드로스,土地云,土地雲
0646,キュレム,Kyurem,Kyurem,Kyurem,Kyurem,Kyurem,큐레무,酋雷姆,酋雷姆
0647,ケルディオ,Keldeo,Keldeo,Keldeo,Keldeo,Keldeo,케르디오,凯路迪欧,凱路迪歐
0648,メロエッタ,Meloetta,Meloetta,Meloetta,Meloetta,Meloetta,메로엣타,美洛耶塔,美洛耶塔
0649,ゲノセクト,Genesect,Genesect,Genesect,Genesect,Genesect,게노세크트,盖诺赛克特,蓋諾賽克特
0650,ハリマロン,Chespin,Chespin,Chespin,Igamaro,Marisson,도치마론,哈力栗,哈力栗
0651,ハリボーグ,Quilladin,Quilladin,Quilladin,Igastarnish,Boguérisse,도치보구,胖胖哈力,胖胖哈力
0652,ブリガロン,Chesnaught,Chesnaught,Chesnaught,Brigaron,Blindépique,브리가론,布里卡隆,布里卡隆
0653,フォッコ,Fennekin,Fennekin,Fennekin,Fynx,Feunnec,푸호꼬,火狐狸,火狐狸
0654,テールナー,Braixen,Braixen,Braixen,Rutena,Roussil,테르나,长尾火狐,長尾火狐
0655,マフォクシー,Delphox,Delphox,Delphox,Fennexis,Goupelin,마폭시,妖火红狐,妖火紅狐
0656,ケロマツ,Froakie,Froakie,Froakie,Froxy,Grenousse,개구마르,呱呱泡蛙,呱呱泡蛙
0657,ゲコガシラ,Frogadier,Frogadier,Frogadier,Amphizel,Croâporal,개굴반장,呱头蛙,呱頭蛙
0658,ゲッコウガ,Greninja,Greninja,Greninja,Quajutsu,Amphinobi,개굴닌자,甲贺忍蛙,甲賀忍蛙
0659,ホルビー,Bunnelby,Bunnelby,Bunnelby,Sapereau,Sapereau,파르빗,掘掘兔,掘掘兔
0660,ホルード,Diggersby,Diggersby,Diggersby,Grebbit,Excavarenne,파르토,掘地兔,掘地兔
0661,ヤヤコマ,Fletchling,Fletchling,Fletchling,Dartiri,Passerouge,화살꼬빈,小箭雀,小箭雀
0662,ヒノヤコマ,Fletchinder,Fletchinder,Fletchinder,Dartignis,Braisillon,불화살빈,火箭雀,火箭雀
0663,ファイアロー,Talonflame,Talonflame,Talonflame,Fiaro,Flambusard,파이어로,烈箭鹰,烈箭鷹
0664,コフキムシ,Scatterbug,Scatterbug,Scatterbug,Purmel,Lépidonille,분이벌레,粉蝶虫,粉蝶蟲
0665,コフーライ,Spewpa,Spewpa,Spewpa,Puponcho,Pérégrain,분떠도리,粉蝶蛹,粉蝶蛹
0666,ビビヨン,Vivillon,Vivillon,Vivillon,Vivillon,Prismillon,비비용,彩粉蝶,彩粉蝶
0667,シシコ,Litleo,Litleo,Litleo,Leufeo,Hélionceau,레오꼬,小狮狮,小獅獅
0668,カエンジシ,Pyroar,Pyroar,Pyroar,Pyroleo,Némélios,화염레오,火炎狮,火炎獅
0669,フラベベ,Flabébé,Flabébé,Flabébé,Flabébé,Flabébé,플라베베,花蓓蓓,花蓓蓓
0670,フラエッテ,Floette,Floette,Floette,Floette,Floette,플라엣테,花叶蒂,花葉蒂
0671,フラージェス,Florges,Florges,Florges,Florges,Florges,플라제스,花洁夫人,花潔夫人
0672,メェークル,Skiddo,Skiddo,Skiddo,Mähikel,Cabriolaine,메이클,坐骑小羊,坐騎小羊
0673,ゴーゴート,Gogoat,Gogoat,Gogoat,Chevrumm,Chevroum,고고트,坐骑山羊,坐騎山羊
0674,ヤンチャム,Pancham,Pancham,Pancham,Pam-Pam,Pandespiègle,판짱,顽皮熊猫,頑皮熊貓
0675,ゴロンダ,Pangoro,Pangoro,Pangoro,Pandagro,Pandarbare,부란다,霸道熊猫,流氓熊貓
0676,トリミアン,Furfrou,Furfrou,Furfrou,Coiffwaff,Couafarel,트리미앙,多丽米亚,多麗米亞
0677,ニャスパー,Espurr,Espurr,Espurr,Psiau,Psystigri,냐스퍼,妙喵,妙喵
0678,ニャオニクス,Meowstic,Meowstic,Meowstic,Psiaugon,Mistigrix,냐오닉스,超能妙喵,超能妙喵
0679,ヒトツキ,Honedge,Honedge,Honedge,Gramokles,Monorpale,단칼빙,独剑鞘,獨劍鞘
0680,ニダンギル,Doublade,Doublade,Doublade,Duokles,Dimoclès,쌍검킬,双剑鞘,雙劍鞘
0681,ギルガルド,Aegislash,Aegislash,Aegislash,Durengard,Exagide,킬가르도,坚盾剑怪,堅盾劍怪
0682,シュシュプ,Spritzee,Spritzee,Spritzee,Parfi,Fluvetin,슈쁘,粉香香,粉香香
0683,フレフワン,Aromatisse,Aromatisse,Aromatisse,Parfinesse,Cocotine,프레프티르,芳香精,芳香精
0684,ペロッパフ,Swirlix,Swirlix,Swirlix,Flauschling,Sucroquin,나룸퍼프,绵绵泡芙,綿綿泡芙
0685,ペロリーム,Slurpuff,Slurpuff,Slurpuff,Sabbaione,Cupcanaille,나루림,胖甜妮,胖甜妮
0686,マーイーカ,Inkay,Inkay,Inkay,Iscalar,Sepiatop,오케이징,好啦鱿,好啦魷
0687,カラマネロ,Malamar,Malamar,Malamar,Calamanero,Sepiatroce,칼라마네로,乌贼王,烏賊王
0688,カメテテ,Binacle,Binacle,Binacle,Bithora,Opermine,거북손손,龟脚脚,龜腳腳
0689,ガメノデス,Barbaracle,Barbaracle,Barbaracle,Thanathora,Golgopathe,거북손데스,龟足巨铠,龜足巨鎧
0690,クズモー,Skrelp,Skrelp,Skrelp,Algitt,Venalgue,수레기,垃垃藻,垃垃藻
0691,ドラミドロ,Dragalge,Dragalge,Dragalge,Tandrak,Kravarech,드래캄,毒藻龙,毒藻龍
0692,ウデッポウ,Clauncher,Clauncher,Clauncher,Scampisto,Flingouste,완철포,铁臂枪虾,鐵臂槍蝦
0693,ブロスター,Clawitzer,Clawitzer,Clawitzer,Wummer,Gamblast,블로스터,钢炮臂虾,鋼炮臂蝦
0694,エリキテル,Helioptile,Helioptile,Helioptile,Eguana,Galvaran,목도리키텔,伞电蜥,傘電蜥
0695,エレザード,Heliolisk,Heliolisk,Heliolisk,Elezard,Iguolta,일레도리자드,光电伞蜥,光電傘蜥
0696,チゴラス,Tyrunt,Tyrunt,Tyrunt,Balgoras,Ptyranidur,티고라스,宝宝暴龙,寶寶暴龍
0697,ガチゴラス,Tyrantrum,Tyrantrum,Tyrantrum,Monargoras,Rexillius,견고라스,怪颚龙,怪顎龍
0698,アマルス,Amaura,Amaura,Amaura,Amarino,Amagara,아마루스,冰雪龙,冰雪龍
0699,アマルルガ,Aurorus,Aurorus,Aurorus,Amagarga,Dragmara,아마루르가,冰雪巨龙,冰雪巨龍
0700,ニンフィア,Sylveon,Sylveon,Sylveon,Feelinara,Nymphali,님피아,仙子伊布,仙子伊布
0701,ルチャブル,Hawlucha,Hawlucha,Hawlucha,Resladero,Brutalibré,루차불,摔角鹰人,摔角鷹人
0702,デデンネ,Dedenne,Dedenne,Dedenne,Dedenne,Dedenne,데덴네,咚咚鼠,咚咚鼠
0703,メレシー,Carbink,Carbink,Carbink,Rocara,Strassie,멜리시,小碎钻,小碎鑽
0704,ヌメラ,Goomy,Goomy,Goomy,Viscora,Mucuscule,미끄메라,黏黏宝,黏黏寶
0705,ヌメイル,Sliggoo,Sliggoo,Sliggoo,Viscargot,Colimucus,미끄네일,黏美儿,黏美兒
0706,ヌメルゴン,Goodra,Goodra,Goodra,Viscogon,Muplodocus,미끄래곤,黏美龙,黏美龍
0707,クレッフィ,Klefki,Klefki,Klefki,Clavion,Trousselin,클레피,钥圈儿,鑰圈兒
0708,ボクレー,Phantump,Phantump,Phantump,Paragoni,Brocélôme,나목령,小木灵,小木靈
0709,オーロット,Trevenant,Trevenant,Trevenant,Trombork,Desséliande,대로트,朽木妖,朽木妖
0710,バケッチャ,Pumpkaboo,Pumpkaboo,Pumpkaboo,Irrbis,Pitrouille,호바귀,南瓜精,南瓜精
0711,パンプジン,Gourgeist,Gourgeist,Gourgeist,Pumpdjinn,Banshitrouye,펌킨인,南瓜怪人,南瓜怪人
0712,カチコール,Bergmite,Bergmite,Bergmite,Arktip,Grelaçon,꽁어름,冰宝,冰寶
0713,クレベース,Avalugg,Avalugg,Avalugg,Arktilas,Séracrawl,크레베이스,冰岩怪,冰岩怪
0714,オンバット,Noibat,Noibat,Noibat,eF-eM,Sonistrelle,음뱃,嗡蝠,嗡蝠
0715,オンバーン,Noivern,Noivern,Noivern,UHaFnir,Bruyverne,음번,音波龙,音波龍
0716,ゼルネアス,Xerneas,Xerneas,Xerneas,Xerneas,Xerneas,제르네아스,哲尔尼亚斯,哲爾尼亞斯
0717,イベルタル,Yveltal,Yveltal,Yveltal,Yveltal,Yveltal,이벨타르,伊裴尔塔尔,伊裴爾塔爾
0718,ジガルデ,Zygarde,Zygarde,Zygarde,Zygarde,Zygarde,지가르데,基格尔德,基格爾德
0719,ディアンシー,Diancie,Diancie,Diancie,Diancie,Diancie,디안시,蒂安希,蒂安希
0720,フーパ,Hoopa,Hoopa,Hoopa,Hoopa,Hoopa,후파,胡帕,胡帕
0721,ボルケニオン,Volcanion,Volcanion,Volcanion,Volcanion,Volcanion,볼케니온,波尔凯尼恩,波爾凱尼恩
0722,モクロー,Rowlet,Rowlet,Rowlet,Bauz,Brindibou,나몰빼미,木木枭,木木梟
0723,フクスロー,Dartrix,Dartrix,Dartrix,Arboretoss,Efflèche,빼미스로우,投羽枭,投羽梟
0724,ジュナイパー,Decidueye,Decidueye,Decidueye,Silvarro,Archéduc,모크나이퍼,狙射树枭,狙射樹梟
0725,ニャビー,Litten,Litten,Litten,Flamiau,Flamiaou,냐오불,火斑喵,火斑喵
0726,ニャヒート,Torracat,Torracat,Torracat,Miezunder,Matoufeu,냐오히트,炎热喵,炎熱喵
0727,ガオガエン,Incineroar,Incineroar,Incineroar,Fuegro,Félinferno,어흥염,炽焰咆哮虎,熾焰咆哮虎
0728,アシマリ,Popplio,Popplio,Popplio,Robball,Otaquin,누리공,球球海狮,球球海獅
